Identifier,Title,ShortTitle,ValueType
CA-CJSERFTED,Total Number of Social Enquiry Reports for Clients in Full Time Education,Total Social Enquiry Reports for Clients in Full Time Education,count
CA-CJSERGOVT,Total Number of Social Enquiry Reports for Clients who are on a Government Sponsored Training Scheme,Total Social Enquiry Reports for Clients who are Government Sponsored Training Scheme,count
CA-CJSERMABDI,Total number of SERs where main outcome was Absolute discharge,Total number of SERs where main outcome was Absolute discharge,count
CA-CJSERMADD,Total Number of Social Enquiry Reports for Clients with Main Outcome of Probation with Additional Conditions,Total Social Enquiry Reports for Clients with Main Outcome of Probation with Additional Conditions,count
CA-CJSERMADM,Total number of SERs where main outcome was Admonition,Total number of SERs where main outcome was Admonition,count
CA-CJSERMALE,Total Number of Males Receiving Social Enquiry Reports,Total Males Receiving Social Enquiry Reports,count
CA-CJSERMCOMM,Total Number of Social Enquiry Reports for Clients with Main Outcome of Community Service,Total Social Enquiry Reports for Clients with Main Outcome of Community Service,count
CA-CJSERMCUSDY,Total Number of Social Enquiry Reports for Clients with Main Outcome of Custody,Total Social Enquiry Reports for Clients with Main Outcome of Custody,count
CA-CJSERMDEFR,Total Number of Social Enquiry Reports for Clients with Main Outcome of Deferred (3 months or more),Total Social Enquiry Reports for Clients with Main Outcome of Deferred (3 months or more),count
CA-CJSERMDTTO,Total Number of Social Enquiry Reports for Clients with Main Outcome of Warrant for Drug Treatment and Testing Order,Total Social Enquiry Reports for Clients with Main Outcome of Warrant for Drug Treatment and Testing Order,count
CA-CJSERMEXTD,Total Number of Social Enquiry Reports for Clients with Main Outcome of Custody with Extended Sentence,Total Social Enquiry Reports for Clients with Main Outcome of Custody with Extended Sentence,count
CA-CJSERMMONY,Total Number of Social Enquiry Reports for Clients with Main Outcome of Monetary Penalty,Total Social Enquiry Reports for Clients with Main Outcome of Monetary Penalty,count
CA-CJSERMNOTKWN,Total Number of Social Enquiry Reports for Clients with Main Outcome Not Yet Known,Total Social Enquiry Reports for Clients with Main Outcome Not Yet Known,count
CA-CJSERMOTHER,Total Number of Social Enquiry Reports for Clients with Other Main Outcome,Total Social Enquiry Reports for Clients with Other Main Outcome,count
CA-CJSERMRLO,Total Number of Social Enquiry Reports for Clients with Main Outcome of Restriction of Liberty Order,Total Social Enquiry Reports for Clients with Main Outcome of Restriction of Liberty Order,count
CA-CJSERMSTAND,Total Number of Social Enquiry Reports for Clients with Main Outcome of Probation with Standard Conditions,Total Social Enquiry Reports for Clients with Main Outcome of Probation with Standard Conditions,count
CA-CJSERMSUPVD,Total Number of Social Enquiry Reports for Clients with Main Outcome of Custody with Supervised Release Order,Total Social Enquiry Reports for Clients with Main Outcome of Custody with Supervised Release Order,count
CA-CJSERMUNPW,Total Number of Social Enquiry Reports for Clients with Main Outcome of Probation with Condition of Unpaid Work,Total Social Enquiry Reports for Clients with Main Outcome of Probation with Condition of Unpaid Work,count
CA-CJSERMWARNT,Total Number of Social Enquiry Reports for Clients with Main Outcome of Warrant for Apprehension,Total Social Enquiry Reports for Clients with Main Outcome of Warrant for Apprehension,count
CA-CJSERNSE,Total Number of Social Enquiry Reports for Clients who are Not Seeking Employment,Total Social Enquiry Reports for Clients who are Not Seeking Employment,count
CA-CJSEROTH,Total Number of Social Enquiry Reports for Clients who have Other Employment Sstatus,Total Social Enquiry Reports for Clients who have Other Employment Status,count
CA-CJSERPADD,Total Number of Social Enquiry Reports for Clients with Preferred Option of Probation with Additional Conditions,Total Social Enquiry Reports for Clients with Preferred Option of Probation with Additional Conditions,count
CA-CJSERPCOMM,Total Number of Social Enquiry Reports for Clients with Preferred Option of Community Service,Total Social Enquiry Reports for Clients with Preferred Option of Community Service,count
CA-CJSERPCUSDY,Total Number of Social Enquiry Reports for Clients with Preferred Option of Custody,Total Social Enquiry Reports for Clients with Preferred Option of Custody,count
CA-CJSERPDEFR,Total Number of Social Enquiry Reports for Clients with Preferred Option of Deferred (3 months or more),Total Social Enquiry Reports for Clients with Preferred Option of Deferred (3 months or more),count
CA-CJSERPDTTO,Total Number of Social Enquiry Reports for Clients with Preferred Option of Drug Treatment and Testing Order,Total Social Enquiry Reports for Clients with Preferred Option of Drug Treatment and Testing Order,count
CA-CJSERPEXTD,Total Number of Social Enquiry Reports for Clients with Preferred Option of Custody with Extended Sentence,Total Social Enquiry Reports for Clients with Preferred Option of Custody with Extended Sentence,count
CA-CJSERPMONY,Total Number of Social Enquiry Reports for Clients with Preferred Option of Monetary Penalty,Total Social Enquiry Reports for Clients with Preferred Option of Monetary Penalty,count
CA-CJSERPNOOPT,Total Number of Social Enquiry Reports for Clients with No Preferred Option,Total Social Enquiry Reports for Clients with No Preferred Option,count
CA-CJSERPOTHER,Total Number of Social Enquiry Reports for Clients with Other Preferred Option,Total Social Enquiry Reports for Clients with Other Preferred Option,count
CA-CJSERPRLO,Total Number of Social Enquiry Reports for Clients with Preferred Option of Restriction of Liberty Order,Total Social Enquiry Reports for Clients with Preferred Option of Restriction of Liberty Order,count
CA-CJSERPSTAND,Total Number of Social Enquiry Reports for Clients with Preferred Option of Probation with Standard Conditions,Total Social Enquiry Reports for Clients with Preferred Option of Probation with Standard Conditions,count
CA-CJSERPSUPVD,Total Number of Social Enquiry Reports for Clients with Preferred Option of Custody with Supervised Release Order,Total Social Enquiry Reports for Clients with Preferred Option of Custody with Supervised Release Order,count
CA-CJSERPUNPW,Total Number of Social Enquiry Reports for Clients with Preferred Option of Probation with Condition of Unpaid Work,Total Social Enquiry Reports for Clients with Preferred Option of Probation with Condition of Unpaid Work,count
CA-CJSERTOT,Total Number of Social Enquiry Reports,Total Social Enquiry Reports,count
CA-CJSERUNEMP,Total Number of Social Enquiry Reports for Clients who are Unemployed,Total Social Enquiry Reports for Clients who are Unemployed,count
CA-Clients65pn,Home Care Clients Aged 65+,Home Care Clients Aged 65+,count
CA-Clientspopn,H1 Clients per 1000 population,H1 Clients per 1000 population,ratio
CA-DCCDEM,Number of daycare clients with dementia,daycare clients with dementia,count
CA-DCCDRUG,Number of daycare clients with drug/alcohol problems,daycare clients with drug/alcohol problems,count
CA-DCCFEMALE,Number of female daycare clients,female daycare clients,count
CA-DCCLA,Number of clients in daycare provided by local authorities,clients in daycare provided by local authorities,count
CA-DCCLEARN,Number of daycare clients with learning disabilities,daycare clients with learning disabilities,count
CA-DCCMALE,Number of male daycare clients,male daycare clients,count
CA-DCCMENTAL,Number of daycare clients with mental health problems,daycare clients with mental health problems,count
CA-DCCOTHER,Number of other daycare clients incl  DCCDRUG drug/ alcohol,other daycare clients incl  DCCDRUG drug/ alcohol,count
CA-DCCOVER65,Number of daycare clients aged 65 & over,daycare clients aged 65 & over,count
CA-DCCPHYDIS,Number of daycare clients with physical disabilities (incl fraility due to old age),daycare clients with physical disabilities,count
CA-DCCPRIV,Number of clients in daycare provided by the private sector,clients in daycare provided by the private sector,count
CA-DCCTOTAL,Total number of clients in daycare,Total clients in daycare,count
CA-DCCUNDER65,Number of daycare clients aged under 65,daycare clients aged under 65,count
CA-DCCVOL,Number of clients in daycare provided by the voluntary sector,clients in daycare provided by the voluntary sector,count
CA-DCPLA,Number of daycare places provided by local authorities,daycare places local authorities,count
CA-DCPLEARN,Number of daycare places for people with learning disabilities,daycare places for people with learning disabilities,count
CA-DCPMENTAL,Number of daycare places for people with mental health problems,daycare places for people with mental health problems,count
CA-DCPNOCENTRES,Number of day care centres,Total daycare centres,count
CA-DCPNOPLACES,Total number of daycare places,Total daycare places,count
CA-DCPOLD,Number of daycare places for older people,daycare places for older people,count
CA-DCPOLDDEM,Number of daycare places for older people with dementia,daycare places for older people with dementia,count
CA-DCPOTHER,Number of daycare places for other client groups,daycare places for other client groups,count
CA-DCPPHYDIS,Number of daycare places for physically disabled people,daycare places for physically disabled people,count
CA-DCPPRIV,Number of daycare places provided by the private sector,daycare places private sector,count
CA-DCPVOL,Number of daycare places provided by the voluntary sector,daycare places voluntary sector,count
CA-DCSERDOM,Number of daycare clients receiving domestic/practical services,daycare clients receiving domestic/practical services,count
CA-DCSERED,Number of daycare clients receiving education/employment services,daycare clients receiving education/employment services,count
CA-DCSERPER,Number of daycare clients receiving personal care services,daycare clients receiving personal care services,count
CA-DCSERREC,Number of daycare clients receiving leisure/recreation services,daycare clients receiving leisure/recreation services,count
CA-DCSERRUR,Number of daycare clients receiving transport to centres in rural areas,daycare clients receiving transport to centres in rural areas,count
CA-DCSERSOC,Number of daycare clients receiving social/personal development services,daycare clients receiving social/personal development services,count
CA-DCSERURB,Number of daycare clients receiving transport to centres in urban areas,daycare clients receiving transport to centres in urban areas,count
CA-DCSTCARE,Total number of care staff in daycare centres (whole time equivalent),care staff in daycare centres (whole time equivalent),count
CA-DCSTDEMP,Total number of staff in daycare centres for older people with dementia (whole time equivalent),staff in daycare centres for older people with dementia (whole time equivalent),count
CA-DCSTDRUGP,Total number of staff in daycare centres for people drug/alcohol problems (whole time equivalent),staff in daycare centres for people drug/alcohol problems (whole time equivalent),count
CA-DCSTLEARP,Total number of staff in daycare centres for people with learning disabilities (whole time equivalent),staff in daycare centres for people with learning disabilities (whole time equivalent),count
CA-DCSTMAN,Total number of management staff in daycare centres (whole time equivalent),management staff in daycare centres (whole time equivalent),count
CA-DCSTMENTP,Total number of staff in daycare centres for people with mental health problems (whole time equivalent),staff in daycare centres for people with mental health problems (whole time equivalent),count
CA-DCSTOLD,Total number of staff in daycare centres for older people  (whole time equivalent),staff in daycare centres for older people  (whole time equivalent),count
CA-DCSTOTH,Total number of other staff in daycare centres (whole time equivalent),staff in daycare centres (whole time equivalent),count
CA-DCSTOTHP,Total number of staff in daycare centres for other people (whole time equivalent),staff in daycare centres for other people (whole time equivalent),count
CA-DCSTPHYP,Total number of staff in daycare centres for people with physical disabilities (whole time equivalent),staff in daycare centres for people with physical disabilities (whole time equivalent),count
CA-DCSTTOT,Total number of staff in daycare centres (whole time equivalent),staff in daycare centres (whole time equivalent),count
CA-DCU1DAY,Number of daycare clients using service 1 day a week,daycare clients using service 1 day a week,count
CA-DCU2DAY,Number of daycare clients using service 2 day a week,daycare clients using service 2 day a week,count
CA-DCU3DAY,Number of daycare clients using service 3 day a week,daycare clients using service 3 day a week,count
CA-DCU4DAY,Number of daycare clients using service 4 day a week,daycare clients using service 4 day a week,count
CA-DCU5DAY,Number of daycare clients using service 5 day a week,daycare clients using service 5 day a week,count
CA-DCU67DAY,Number of daycare clients using service 6 or 7 days a week,daycare clients using service 6 or 7 days a week,count
CA-DPC1617,Number of direct payment clients aged 16 or 17,Number of direct payment clients aged 16 or 17,count
CA-DPC1864,Number of direct payment clients aged 18 to 64,Number of direct payment clients aged 18 to 64,count
CA-DPCGT64,Number of direct payment clients aged 65+,Number of direct payment clients aged 65+,count
CA-DPCTOTAL,Total number of direct payment clients,Total number of direct payment clients,count
CA-DPCTOTVAL,Total value of direct payment clients,Total value of direct payment clients,count
CA-DPCVAL1617,Value of direct payments to clients aged 16 or 17,Value of direct payments to clients aged 16 or 17,count
CA-DPCVAL1864,Value of direct payments to clients aged 18 to 64,Value of direct payments to clients aged 18 to 64,count
CA-DPCVALGT64,Value of direct payments to clients aged 65+,Value of direct payments to clients aged 65+,count
CA-DPRCHILD,Number of disabled parents receiving direct payment for childrens services,Number of disabled parents receiving direct payment for childrens services,count
CA-DPRLEARN,Number of direct payment clients with learning disabilities,Number of direct payment clients with learning disabilities,count
CA-DPRMENTAL,Number of direct payment clients with mental health problems,Number of direct payment clients with mental health problems,count
CA-DPROTHER,Number of direct payment to other clients,Number of direct payment to other clients,count
CA-DPRPHYDIS,Number of direct payment clients with physical disabilities,Number of direct payment clients with physical disabilities,count
CA-DPRVLEARN,Value of direct payments to clients with learning disabilities,Value of direct payments to clients with learning disabilities,count
CA-DPRVMENTAL,Value of direct payments to clients with mental health problems,Value of direct payments to clients with mental health problems,count
CA-DPRVOTHER,Value of direct payments to other clients,Value of direct payments to other clients,count
CA-DPRVPDISPAR,Value of direct payments to disabled parents,Value of direct payments to disabled parents,count
CA-DPRVPHYDIS,Value of direct payments to clients with physical disabilities,Value of direct payments to clients with physical disabilities,count
CA-FemaleH1n,Number of Home Care Clients who are female,Number of Home Care Clients who are female,count
CA-FPG12ASYM,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Asylum Seekers,count
CA-FPG12ENGY,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Energy,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Energy,count
CA-FPG12FOOD,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Food,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Food,count
CA-FPG12OTHER,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Other provision,count
CA-FPG12RENT,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Rent,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Rent,count
CA-FPG12TOT,Total amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968,Total  grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968,count
CA-FPG12TRAV,Amount grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Travel,grant/loan paid under Section 12 of the Social Work (Scotland) Act 1968 for Travel,count
CA-FPG25ASYM,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Asylum Seekers,count
CA-FPG25CHILD,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Day Care for children in need,count
CA-FPG25ENGY,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Energy,count
CA-FPG25FOOD,Amount grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,grant/loan paid under Sections 22 and 25 of the Children (Scotland) Act 1995 for Food,count
